drop_off_location,stake,ward/stake,time_spent,number_of_adult,number_of_youth,doors_in_route,donation_bags_collected,did_you_complete_more_than_1_route?,neighbourhood,assessed_value,latitude,longitude
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,150,2,3,280,48,Yes,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,15,2,2,180,15,No,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,45,1,1,300,54,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,90,4,1,431,37,Yes,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Bearspaw Chapel,Gateway Stake,Wild Rose Ward,45,2,2,100,25,No,WILD ROSE,407500.0,53.470264126996724,-113.37827528149387
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,90,3,1,230,21,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,45,2,1,300,55,Yes,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,45,5,4,286,29,No,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,45,1,4,29,29,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,45,2,3,90,12,No,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,45,4,1,271,27,Yes,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,45,2,0,0,20,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,90,2,2,242,26,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,15,1,3,155,22,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,45,2,0,15,15,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,15,2,4,198,33,Yes,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,45,2,0,75,15,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,90,2,2,168,16,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,45,2,2,25,250,No,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,45,2,0,97,15,No,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,45,2,2,130,20,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
