drop_off_location,stake,ward/stake,time_spent,number_of_adult,number_of_youth,doors_in_route,donation_bags_collected,did_you_complete_more_than_1_route?,neighbourhood,assessed_value,latitude,longitude
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,15,2,3,195,16,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,15,3,0,100,27,Yes,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,15,2,2,100,9,No,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
Bonnie Doon Stake Centre,Bonnie Doon Stake,Southgate Ward,45,2,0,147,23,No,SOUTHGATE,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,15,1,2,6,7,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,45,2,0,246,30,Yes,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,45,2,3,131,25,No,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,15,2,2,172,16,No,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,45,4,0,301,19,Yes,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,90,2,0,236,40,No,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,15,1,4,19,22,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,45,2,4,120,16,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,90,2,0,300,56,Yes,SOUTHGATE,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Lee Ridge Ward,90,5,2,27,31,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,45,1,3,236,32,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,15,3,0,90,30,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,90,4,3,145,21,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,45,6,3,171,50,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,45,1,1,240,31,No,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,150,2,1,223,100,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,90,1,2,160,19,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,150,2,4,186,21,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,45,2,2,200,30,Yes,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,90,2,2,500,58,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,15,2,1,126,9,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,90,1,2,147,36,Yes,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Gateway Stake Centre ,Gateway Stake,Lee Ridge Ward,45,2,0,137,28,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,90,2,4,158,35,No,SOUTHGATE,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,90,2,0,19,19,Yes,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,15,3,0,175,30,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,45,2,2,197,45,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,15,1,3,96,16,No,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,5,0,326,53,Yes,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,45,2,0,139,19,No,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,15,1,1,300,27,Yes,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Blackmud Creek Ward,150,2,6,300,50,Yes,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,45,1,0,50,10,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,90,1,2,0,45,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,90,3,0,350,45,Yes,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,90,4,1,203,30,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,45,2,0,31,39,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,90,2,0,50,40,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,90,2,1,176,20,Yes,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,90,3,1,354,59,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,45,2,2,100,12,No,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,150,1,2,185,25,Yes,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,90,2,0,30,40,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,45,2,0,174,25,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,15,1,5,66,12,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,150,3,8,400,41,Yes,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,150,2,0,160,32,No,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,90,2,3,209,80,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Gateway Stake Centre ,Gateway Stake,Rio Vista Ward,15,1,0,138,4,No,RIO VISTA,345019.3548387097,53.44657079870745,-113.43938401646996
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,45,0,2,0,30,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,90,2,0,242,46,No,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,45,2,0,150,25,No,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,45,2,9,20,26,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,4,0,346,73,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,90,3,0,135,14,No,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,45,4,0,250,54,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Lee Ridge Ward,90,1,2,166,24,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,15,1,1,200,58,Yes,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,45,3,2,207,36,No,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,15,4,4,100,25,No,WOODBEND,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,45,4,1,60,14,No,WOODBEND,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,1,4,250,56,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,90,1,1,100,30,Yes,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,45,2,4,264,35,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,90,1,0,65,70,Yes,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,150,2,0,49,73,Yes,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,45,2,2,205,10,Yes,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,2,0,160,42,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,45,2,1,106,23,No,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,3,0,195,29,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,90,2,1,140,20,No,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Bearspaw Chapel,Riverbend Stake,Rabbit Hill Ward,90,2,4,127,58,No,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,90,2,0,175,25,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,45,2,0,200,22,No,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,4,9,171,26,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,45,2,4,245,25,Yes,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,150,2,2,150,46,Yes,SOUTHGATE,430500.0,53.546101794086134,-113.44942110872128
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,45,2,0,150,16,No,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,15,2,4,136,20,No,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,3,2,164,30,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,90,2,4,300,75,Yes,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,90,1,0,225,80,Yes,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,45,2,3,230,42,Yes,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,15,2,2,0,55,Yes,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Gateway Stake Centre ,Gateway Stake,Rio Vista Ward,90,1,1,312,150,Yes,RIO VISTA,345019.3548387097,53.44657079870745,-113.43938401646996
Gateway Stake Centre ,Gateway Stake,Lee Ridge Ward,45,2,2,159,15,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,150,4,2,428,75,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,45,1,2,100,12,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,15,1,5,239,32,Yes,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,150,2,0,400,50,Yes,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,45,2,2,90,17,Yes,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,45,3,0,300,24,Yes,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,150,2,1,260,100,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,15,2,3,16,19,Yes,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,45,2,2,125,21,Yes,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,90,1,1,184,45,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,150,1,3,600,118,Yes,WOODBEND,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,90,1,2,134,30,No,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Gateway Stake Centre ,Gateway Stake,Rio Vista Ward,45,2,0,270,50,Yes,RIO VISTA,345019.3548387097,53.44657079870745,-113.43938401646996
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,90,3,2,500,65,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,90,1,0,138,6,No,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,15,2,2,119,14,No,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,45,5,0,326,53,Yes,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,45,2,2,70,7,Yes,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,45,4,0,278,35,No,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,45,3,0,329,15,No,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,45,1,1,152,30,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,45,2,3,210,25,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,15,2,1,18,25,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,45,2,3,205,25,No,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,15,3,0,168,25,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,90,2,5,216,46,No,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,150,1,4,100,18,No,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,45,2,4,200,49,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,150,3,0,200,30,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,90,2,2,410,45,Yes,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Gateway Stake Centre ,Gateway Stake,Lee Ridge Ward,90,1,2,146,25,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,1,2,262,40,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,15,2,3,241,23,Yes,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,150,2,2,498,55,No,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,15,4,0,167,30,No,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,90,2,1,25,12,No,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,45,2,3,240,35,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,45,2,0,150,34,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,45,2,1,500,62,Yes,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,15,2,3,209,15,Yes,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,150,2,4,312,60,Yes,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Rio Vista Ward,45,2,1,149,25,No,RIO VISTA,345019.3548387097,53.44657079870745,-113.43938401646996
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,15,4,0,167,25,No,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,150,1,0,522,80,Yes,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,150,3,0,800,66,Yes,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Gateway Stake Centre ,Gateway Stake,Beaumont Ward,45,1,0,115,7,No,BEAUMONT,345019.3548387097,53.44657079870745,-113.43938401646996
Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,45,2,4,250,47,No,WOODBEND,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,45,2,0,282,54,Yes,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,90,2,3,180,42,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,90,3,4,377,71,Yes,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,2,2,101,19,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,15,2,1,0,5,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,15,2,0,140,17,No,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,45,2,5,142,20,No,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,45,1,1,8,10,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,45,2,3,211,37,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,45,2,3,200,25,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,15,2,2,225,20,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,45,2,0,500,38,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,90,2,4,300,50,No,WOODBEND,366912.5,53.445935900220604,-113.52831652906862
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,15,4,0,155,21,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,45,2,0,171,12,No,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,3,1,192,37,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,90,3,0,215,38,No,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,45,3,4,188,27,Yes,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,90,2,0,302,65,No,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,90,2,2,360,30,Yes,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,90,5,10,800,95,No,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,90,2,3,300,40,Yes,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,90,4,2,289,55,Yes,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
Gateway Stake Centre ,Gateway Stake,Rio Vista Ward,45,1,3,151,34,No,RIO VISTA,345019.3548387097,53.44657079870745,-113.43938401646996
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,150,2,0,800,57,Yes,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,45,2,0,40,3,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,45,2,2,200,42,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,45,2,2,300,35,No,WOODBEND,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,90,2,2,257,31,Yes,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,45,1,1,433,39,No,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,150,1,2,182,43,Yes,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Rio Vista Ward,90,1,4,300,40,No,RIO VISTA,345019.3548387097,53.44657079870745,-113.43938401646996
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,15,1,2,212,20,No,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,150,2,2,400,123,Yes,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,15,2,0,132,16,No,RABBIT HILL,366912.5,53.445935900220604,-113.52831652906862
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,150,3,0,50,50,Yes,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,45,1,4,245,28,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Gateway Stake Centre ,Gateway Stake,Lee Ridge Ward,45,2,1,160,29,Yes,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,15,2,0,131,9,Yes,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,90,2,0,150,41,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,45,3,4,32,30,No,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,150,1,1,150,45,Yes,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,150,3,0,1030,100,Yes,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,15,3,0,233,30,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,90,2,2,180,20,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,90,2,3,219,50,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
